October 13, 2018;5.0M;50,000+;2.0.2;4.2 and up;Codeminers;
April 2, 2018;5.9M;100,000+;5.3;4.0 and up;BdmobilesApps;
October 3, 2018;4.4M;50,000+;4.0.20181003;4.1 and up;DevsTune;
May 31, 2018;6.0M;10,000+;2.0;4.0 and up;FreshMinder2;
April 1, 2016;4.0M;50,000+;3.0.0;2.3 and up;Area 360;
January 11, 2018;3.1M;50,000+;4.0;4.0 and up;Digital Purchases;MR Apps Dev;
May 23, 2018;5.2M;10,000+;4.0;4.0 and up;TechTunes Mobile App;
October 11, 2018;4.1M;10,000+;3.0;4.0 and up;TechTunes Mobile App;
May 20, 2018;3.3M;5,000+;1.0.1;4.1 and up;Mahmudul Hasan Prince;
September 7, 2018;3.5M;10,000+;2.0;4.0 and up;Aminur Rahman;
April 2, 2018;2.7M;50,000+;2.3.4;4.0 and up;BdmobilesApps;
October 29, 2018;3.6M;5,000+;1.2.0;4.0.3 and up;Apk Files;
April 10, 2018;6.6M;50,000+;2.1;4.0.3 and up;CrackTech;
March 4, 2017;3.8M;10,000+;2.0;3.0 and up;Tea Talk apps store;
October 20, 2018;3.3M;1,000+;1.3.0;4.0.3 and up;Apk Files;
February 26, 2018;3.9M;5,000+;1.4;4.0.3 and up;Shikder Studio;
November 5, 2018;3.7M;1,000+;1.2.0;4.0.3 and up;Apk Files;
November 7, 2018;2.9M;1,000+;1.2;4.0.3 and up;Knowledge Store;
March 16, 2018;2.6M;10,000+;1.2.2;4.0 and up;BdmobilesApps;
November 1, 2018;4.0M;1,000+;1.9;4.2 and up;Impel Service and Solutions Limited;
October 14, 2018;7.4M;5,000+;1.2.2;4.4 and up;a2zTech;
January 1, 2018;5.5M;10,000+;2.1;4.0.3 and up;Devine Galaxy;
February 15, 2018;3.5M;10,000+;1.6;2.3 and up;Little Mew;
December 1, 2017;4.0M;5,000+;2.1;4.0.3 and up;Devine Galaxy;
January 6, 2018;1.3M;1,000+;1.1;4.0.3 and up;Mazharul Islam Arafat;
February 26, 2018;3.8M;5,000+;1.4;4.0.3 and up;Shikder Studio;
October 16, 2018;6.7M;50,000+;3.6;4.0.3 and up;Shikder Studio;
June 25, 2018;2.7M;1,000+;1.1;4.1 and up;Diziito;
August 23, 2017;4.1M;10,000+;1.0;4.0.3 and up;TARIKUL ISLAM;
October 11, 2018;4.4M;10,000+;6.0;4.0 and up;TechTunes Mobile App;
December 17, 2017;4.3M;1,000+;1.3;4.0.3 and up;Shikder Studio;
February 26, 2017;5.0M;10,000+;1.2;3.0 and up;IctContent;
May 19, 2018;4.1M;5,000+;2.1;4.0.3 and up;NYB;
October 30, 2018;7.2M;10,000+;1.2.7;4.1 and up;shurjoMukhi Limited;
May 19, 2018;4.2M;5,000+;2.1;4.0.3 and up;NYB;
October 1, 2018;4.6M;500+;2.0;4.0.3 and up;Ayaat Studio;
February 26, 2018;3.8M;5,000+;1.4;4.0.3 and up;Shikder Studio;
November 29, 2016;6.8M;100,000+;5.0;3.1 and up;Users Interact, Digital Purchases;Abdur Rahman Nirob;
April 7, 2018;2.7M;5,000+;1.0;4.0.3 and up;Dipankar Kumar Sadhu;
March 16, 2018;2.9M;10,000+;1.3.3;4.0 and up;BdmobilesApps;
November 5, 2018;3.1M;5,000+;1.2.0;4.0.3 and up;Apk Files;
April 27, 2018;4.7M;5,000+;1.0;4.0 and up;Sahid Apps;
November 9, 2018;5.7M;1,000+;1.02;4.1 and up;SM Inc.;
December 17, 2017;4.3M;10,000+;1.3;4.0.3 and up;Shikder Studio;
September 20, 2018;4.7M;1,000+;1.2.4;4.0 and up;Rafsan;
April 8, 2018;2.6M;1,000+;1.0;4.0.3 and up;Dipankar Kumar Sadhu;
November 4, 2018;3.0M;1,000+;1.1.8;5.0 and up;SR LAB;
May 3, 2018;3.9M;10,000+;3.0;4.0.3 and up;Ayaat Studio;
September 15, 2018;3.2M;1,000+;1.2;4.0.3 and up;Digital Purchases;JK soft;
December 17, 2017;4.3M;1,000+;1.3;4.0.3 and up;Shikder Studio;
December 2, 2017;3.8M;10,000+;3.2.0;4.0.3 and up;MEGAMINDS Web & IT Solutions;
October 29, 2017;4.1M;1,000+;1.1;4.0.3 and up;Devine Galaxy;
October 2, 2018;2.8M;1,000+;5.0.0;4.0 and up;Edu Apps BD;
December 18, 2017;1.8M;5,000+;1.0.0;2.3 and up;Students-App;
August 18, 2018;5.2M;100+;1.0.3;4.1 and up;MHIT FIRM;
August 27, 2017;1.9M;500+;1.0;4.0 and up;App Master BD;
November 5, 2018;3.4M;5,000+;1.2.0;4.0.3 and up;Apk Files;
September 14, 2018;1.4M;500+;1.0.1;4.4 and up;Digital Purchases;Append Intl;
January 22, 2018;4.1M;1,000+;1.1;4.0.3 and up;YELLOW Lab;
May 19, 2018;4.5M;1,000+;2.1;4.0.3 and up;Kaders App Studio;
May 24, 2018;Varies with device;5,000+;2.3;4.2 and up;Virtualazax;
March 16, 2018;3.1M;5,000+;3.0;4.0 and up;BdmobilesApps;
September 24, 2018;6.2M;1,000+;3.01;4.2 and up;Diziito;
November 7, 2018;3.4M;1,000+;1.2.0;4.0.3 and up;Apk Files;
February 10, 2015;2.0M;10,000+;1.0;2.2 and up;Digital Purchases;Abdur Rahman Nirob;
May 27, 2018;2.6M;500+;1.0.0;4.1 and up;SBN Apps;
March 9, 2018;5.0M;10,000+;1.1.1;4.0 and up;BdmobilesApps;
May 19, 2018;4.1M;1,000+;2.1;4.0.3 and up;NYB;
May 19, 2018;4.3M;5,000+;5.1;4.0.3 and up;Green App Studio;
June 23, 2017;6.4M;10,000+;2.1;4.0 and up;Bangla Droid;
May 26, 2017;3.3M;10,000+;1.0;3.2 and up;Afsarun Nesa;
February 28, 2018;4.5M;100,000+;2.0;4.0.3 and up;Amar Apps;
March 21, 2018;3.2M;1,000+;2.1;4.0 and up;BdmobilesApps;
January 19, 2018;3.3M;500+;3.1;4.0.3 and up;Apps Garage;
October 19, 2018;3.1M;1,000+;1.2.0;4.0.3 and up;Apk Files;
September 27, 2018;26M;500+;4.27.9.18;4.0.3 and up;Mother I Love You;
October 15, 2017;4.1M;10,000+;2.1;4.0.3 and up;Devine Galaxy;
September 15, 2018;3.9M;1,000+;1.7;5.0 and up;Brighter Apps;
April 9, 2018;20M;1,000+;1.0;4.4 and up;Dr. Nur Karim;
October 20, 2017;4.1M;1,000+;1.1;4.0.3 and up;Devine Galaxy;
July 17, 2018;4.2M;1,000+;1.2;4.0.3 and up;Knowledge Store;
April 27, 2018;7.4M;10,000+;2.0.1;4.0 and up;Bayer AG;
November 9, 2017;21M;50,000+;3.49.002;4.0.3 and up;BCSCCTV;
November 8, 2018;5.1M;1,000+;1.2.2;4.1 and up;Play Console;
February 16, 2018;3.8M;1,000+;1.0;2.3 and up;Codes Hanger Apps Studio;
March 9, 2018;4.4M;1,000+;2.1;4.0 and up;bdappsstudio;
January 3, 2017;3.2M;100+;1.5;4.0.3 and up;Users Interact;AnonTech;
October 19, 2017;4.1M;1,000+;1.2;4.0.3 and up;Devine Galaxy;
September 22, 2018;4.2M;1,000+;2.0;4.0.3 and up;Ayaat Studio;
September 10, 2018;9.0M;1,000+;1.0.1;4.2 and up;Study Zone;
January 24, 2015;3.4M;10,000+;1.0;2.2 and up;Digital Purchases;AR-Apps;
April 24, 2016;2.3M;500+;1.0;2.3.3 and up;Users Interact;SimpleCode;
July 30, 2016;2.2M;10,000+;0.0.2;4.0 and up;LateNightBirds;
September 24, 2018;4.7M;100+;1.0;4.1 and up;Diziito;
September 13, 2018;7.4M;500,000+;3.1;4.0.3 and up;Diziito;
December 30, 2017;9.7M;500+;1.0.0;4.1 and up;Oooo Mama;
December 27, 2017;2.0M;10,000+;1.0.0;4.1 and up;Bangla Apps Free;
September 22, 2018;3.9M;100+;2.1;4.1 and up;Castle App store;
June 11, 2018;28M;10,000+;2.0.0;4.0 and up;BCSCCTV;
May 20, 2018;3.3M;1,000+;1.1;4.1 and up;Mahmudul Hasan Prince;
October 18, 2018;4.9M;500+;1.2.0;4.0.3 and up;Apk Files;
November 17, 2018;18M;10,000+;2.4;4.1 and up;RT-SoftWorld;
June 24, 2018;4.5M;1,000+;1.5;4.1 and up;Mahmudul Hasan Prince;
August 10, 2017;4.6M;500+;1.0.3;4.0 and up;CrossAppers™;
October 19, 2018;3.2M;1,000+;1.2.0;4.0.3 and up;Apk Files;
March 4, 2017;3.8M;1,000+;2.0;3.0 and up;Useful Apps BD;
November 18, 2018;5.8M;50+;1.9;4.1 and up;Shahed;
July 21, 2017;19M;1,000+;1.0;4.0.3 and up;Kumar Mongalom Shuvo;
October 2, 2018;2.0M;1,000+;2.20181003;4.2 and up;DevsTune;
December 31, 2017;3.8M;100+;1.0;4.0.3 and up;YELLOW Lab;
October 15, 2017;4.1M;1,000+;1.1;4.0.3 and up;Devine Galaxy;
March 16, 2017;3.6M;10,000+;2.0;3.0 and up;SNS Lab;
October 25, 2016;3.3M;5,000+;1.0;2.3 and up;ERT Apps;
March 4, 2017;3.8M;1,000+;2.0;3.0 and up;Tea Talk apps store;
November 18, 2018;4.3M;1,000+;1.0.15;4.0.3 and up;asosikhi;
November 10, 2018;4.1M;100,000+;2.7;4.0.3 and up;Shikder Studio;
October 28, 2018;5.3M;5,000+;1.0.1;4.1 and up;WikiReZon;
September 10, 2018;110k;100+;2.0;4.0 and up;MD. ABDULLAH AL MAMUN;
July 9, 2018;6.1M;100+;1.0;4.0.3 and up;System Cloud;
September 2, 2017;3.3M;1,000+;2.15;2.3 and up;Fluidstream;
July 2, 2018;5.8M;1,000+;1.02;5.0 and up;Bayer AG;
October 22, 2014;1.7M;10,000+;2.0;2.2 and up;Digital Purchases;Abdur Rahman Nirob;
May 8, 2017;3.9M;10,000+;2.0.1;4.0.3 and up;Users Interact;vpsoft;
October 24, 2018;4.0M;100+;1.3;4.0.3 and up;SRSS Bangla Apps;
September 17, 2018;3.1M;50,000+;1.3;4.0.3 and up;Digital Purchases;JK soft;
February 8, 2015;2.1M;10,000+;1.0;2.2 and up;Digital Purchases;Abdur Rahman Nirob;
March 11, 2018;10M;1,000+;2.0;4.0.3 and up;MJMT Apps;
November 13, 2018;4.2M;10,000+;5.0;4.0.3 and up;Ayaat Studio;
March 23, 2017;3.7M;50,000+;8.0;3.0 and up;ERT Apps;
June 8, 2018;2.2M;50,000+;2.0.20180608;4.2 and up;DevsTune;
September 17, 2018;7.8M;100+;113.0;4.1 and up;Mahfuz Rahman;
August 5, 2018;1.4M;1,000+;2.0;4.0 and up;Anamul;
December 31, 2017;1.6M;10,000+;1.0.0;2.3 and up;bd-digital-apps;
